Initialization Time: 10.2061
Query, response, time
72:58534 2003 (5495U13134U10366U5493)+ 1+, 0, 7.92e-06
73:87706 48350 (5493U3282)+ 1+, 1, 0.00188492
74:29994 37315 (5493U5494U608U3585)+ 1+, 1, 0.00100392
75:9163 53493 (5495.5493.2237.9928.5473.8268.608.15224)+ 1+, 0, 0.00034292
76:34770 77801 (8268U5997U8765U5493U5495U3529U16757U6281)+ 1+, 0, 7.92e-06
77:47035 60429 ((14052)+).((5493)+) 1+, 0, 6.92e-06
78:51903 21430 ((18822)+).((6318)+) 1+, 0, 6.92e-06
79:71112 11690 (2203.5493.849.8945)+ 1+, 0, 0.00048992
80:15594 86019 (608U5493U5495U6168U8765U16561U1891U125)+ 1+, 1, 0.00066292
81:72146 1081 (5024.5493.13134.5493.18298.5493.6241.5493)+ 1+, 0, 0.00013892
82:4450 3357 ((13067)+).((11955)+).((5493)+).((18377)+).((5473)+).((5997)+) 1+, 0, 7.92e-06
83:81021 64700 ((5495)+).((5493)+).((5495)+).((8931)+).((5493)+).((11958)+) 1+, 0, 2.792e-05
84:82696 33892 ((2203)+).((17362)+).((6212)+).((5495)+).((13067)+).((923)+).((5493)+).((798)+) 1+, 0, 0.00011492
85:73841 74637 (1090.10338)+ 1+, 0, 0.00050892
86:61405 51880 (5493.5247.6047.5493.15115.3288)+ 1+, 0, 0.00017592
87:77065 38092 ((2887)+).((6274)+).((5493)+).((5495)+).((5493)+).((2203)+).((5493)+).((5495)+) 1+, 0, 0.00020792
88:71085 91845 (5493.10668)+ 1+, 0, 0.00032992
89:42605 31946 (5493.6318.13598.6241.5494.5493)+ 1+, 1, 0.0225089
90:46916 49625 (5493U2444U13852U731)+ 1+, 1, 0.00276992
91:92082 49960 (17225U1643U5493U5495U13067U6281U2340U18822)+ 1+, 1, 0.00124292
92:84577 67326 (14052U17248)+ 1+, 0, 8.92e-06
93:58015 53069 (16448U5495U798U5493)+ 1+, 1, 0.00320292
94:57647 73545 (5493.5494.5189.6318.15643.6241.4816.8262)+ 1+, 1, 0.0145209
95:24587 54566 ((5462)+).((5351)+).((5495)+).((5493)+) 1+, 1, 0.00313992
96:63711 107192 (5493U15093U5495U8721)+ 1+, 1, 0.00268492
97:78537 281 ((13598)+).((15115)+).((6231)+).((15102)+).((4888)+).((18360)+) 1+, 0, 1.192e-05
98:59020 39808 ((8932)+).((5493)+).((16812)+).((3898)+).((5493)+).((3633)+).((1448)+).((2834)+) 1+, 0, 8.92e-06
99:76536 95713 (2393U5493U3898U16448U798U3731)+ 1+, 1, 0.00085692
100:81085 54893 (5493U15027U10366U17225U8721U16448)+ 1+, 1, 0.00511792
101:16724 74709 ((5462)+).((5493)+).((8510)+).((15421)+) 1+, 0, 0.00025492
102:23492 105681 (7445U5473)+ 1+, 0, 0.00017592
103:16739 35418 ((5493)+).((8526)+) 1+, 0, 7.92e-06
104:88723 33950 ((5493)+).((15960)+).((2644)+).((5473)+).((1643)+).((5493)+).((1448)+).((14137)+) 1+, 0, 8.392e-05
105:103028 8497 (3731U12850U5493U6241U17225U13067)+ 1+, 0, 7.92e-06
106:84175 873 (1899.13418.5493.13913.5493.8268)+ 1+, 0, 8.92e-06
107:102636 24736 (15308.14521.798.5493.17225.9333.7384.12156)+ 1+, 0, 0.00038392
108:91315 6917 ((5495)+).((17212)+).((491)+).((5493)+).((1643)+).((16716)+).((3898)+).((9690)+) 1+, 0, 8.92e-06
109:49056 69925 (8931.5495.8725.3961)+ 1+, 0, 7.92e-06
110:15953 86758 (6230.7384)+ 1+, 0, 0.00017992
111:18 92108 (6168.12553)+ 1+, 0, 5.492e-05
112:12532 64370 (6325U10368U5495U5493)+ 1+, 1, 0.00145092
113:101415 31598 (5493.13067.5493.5635)+ 1+, 0, 3.892e-05
114:424 88051 (14436.125)+ 1+, 0, 7.92e-06
115:107314 87138 ((13067)+).((6810)+).((2006)+).((3288)+).((5493)+).((7382)+).((5493)+).((13418)+) 1+, 0, 3.392e-05
116:43523 102648 (5495.6168.6231.5493.8361.3898.731.17248)+ 1+, 0, 2.192e-05
117:69592 78211 (6318U16448U7721U8268)+ 1+, 1, 0.00255492
118:86316 83975 ((13622)+).((5493)+).((608)+).((5495)+).((3025)+).((6318)+) 1+, 1, 0.0245819
119:24537 79941 (6213U15093)+ 1+, 0, 1.292e-05
120:7024 13148 (10338U5493U8747U6168U8721U16166)+ 1+, 1, 0.00093392
121:89715 91008 ((16757)+).((7403)+).((2006)+).((15960)+).((5493)+).((15115)+) 1+, 0, 3.292e-05
122:97600 5171 (18855U13418U16561U17248)+ 1+, 0, 9.92e-06
123:66003 40648 (5493.13067.5495.5781.5493.479.9570.5495)+ 1+, 0, 0.00290692
124:42389 35740 (18360U2637U16448U15308U5495U8931U15902U17319)+ 1+, 0, 0.00024492
125:24273 65484 (1090.6230.15310.5493.3898.16757.6230.18360)+ 1+, 0, 7.92e-06
126:17571 2793 ((5493)+).((2444)+).((5495)+).((17248)+) 1+, 0, 7.92e-06
127:21310 49514 ((5493)+).((5495)+).((1899)+).((5493)+) 1+, 1, 0.00475592
128:11265 2450 (9977.5493.8905.2644.15027.6213)+ 1+, 0, 2.992e-05
129:43412 102164 (10338.10368.8725.10168.5495.10025.7445.5493)+ 1+, 1, 0.00758492
130:93512 20640 (13225.5781.7721.5493.7468.14052)+ 1+, 0, 0.00011592
131:35020 4630 (12997U425)+ 1+, 0, 3.892e-05
132:50926 103060 (5493.5495.10368.5493.5495.16757)+ 1+, 0, 0.00017192
133:92205 15449 (18855.5997.5493.13067.5493.6241)+ 1+, 0, 0.00090892
134:6199 20855 (10368.13598.8262.7384)+ 1+, 0, 7.92e-06
135:99497 58831 (17718U6318U5493U15102)+ 1+, 1, 0.00030092
136:82431 106944 ((13536)+).((7721)+).((5493)+).((10025)+).((5789)+).((5493)+).((5495)+).((4888)+) 1+, 0, 8.92e-06
137:68014 91013 (5495.17248.5493.3898)+ 1+, 1, 0.00267692
138:26824 79663 (9690U214U5462U5493U6168U9441U15115U18855)+ 1+, 1, 0.00193892
139:27524 59843 ((13598)+).((13936)+).((5493)+).((3529)+).((7103)+).((6241)+) 1+, 0, 3.792e-05
140:43096 42807 (18855.6298.17903.5493)+ 1+, 0, 0.00013292
141:24327 65185 ((13225)+).((16812)+) 1+, 0, 0.00035692
142:29643 71882 ((10338)+).((6997)+).((5493)+).((7721)+).((5493)+).((18855)+).((5493)+).((13134)+) 1+, 0, 2.992e-05
143:73458 84623 (5493.6212.7468.7721.2237.5493.6230.5493)+ 1+, 0, 0.00122492
144:76938 71806 (2644.8510)+ 1+, 0, 4.092e-05
145:72661 6675 (13067U1417U798U5495U5493U7384U17319U1643)+ 1+, 0, 7.92e-06
146:30627 57198 (5495U8757U3585U7721U16448U10208)+ 1+, 0, 7.92e-06
147:79318 29283 (5495.5997)+ 1+, 0, 0.00021092
148:21651 70189 (6213U10042U125U5493U482U13067U13246U13852)+ 1+, 0, 7.92e-06
149:62759 86035 (5781.6241.14052.2637.7445.16561)+ 1+, 0, 0.00029992
150:21843 42108 (7468U5495U3288U5493U10937U15643U5247U4244)+ 1+, 1, 0.00260692
151:75536 6092 (16200.16448.6212.13342.10937.5493)+ 1+, 0, 8.92e-06
152:55698 45305 ((15308)+).((5493)+) 1+, 0, 0.00030492
153:91921 51126 (6168U5493U6212U18855)+ 1+, 0, 8.92e-06
154:54329 41249 ((5495)+).((6212)+).((10338)+).((5493)+).((13418)+).((5495)+) 1+, 0, 7.92e-06
155:37918 43413 (10338U6168U7721U5493U3025U5495U4816U10668)+ 1+, 0, 7.92e-06
156:64692 89829 (8931U13797U10338U2006)+ 1+, 0, 0.00064492
157:10189 19472 (479.6228.16200.5495.2297.5189)+ 1+, 0, 3.292e-05
158:38007 17961 (5495U5247U13913U6241U5493U8905)+ 1+, 1, 0.00060092
159:5708 30717 (8262U5493)+ 1+, 1, 0.00034192
160:105122 26590 ((10007)+).((5493)+).((2340)+).((5493)+).((2449)+).((6241)+) 1+, 0, 7.92e-06
